name,category,amount,date,note
Transport for London,transport,-1.75,2026-04-01,
Transport for London,transport,-1.75,2026-04-03,
YouTube Premium,subscriptions,-2.84,2026-04-04,
Transport for London,transport,-1.75,2026-04-08,
Transport for London,transport,-3.50,2026-04-09,
Telecom Armenia,travel,-13.99,2026-04-09,
Sas 2-1,travel,-31.15,2026-04-10,
Crumbs Mashtots,travel,-8.59,2026-04-10,
Mart Coffee And Food,travel,-27.38,2026-04-10,
Galust Saghatelyan Pe,travel,-15.99,2026-04-10,
Voske Aga LLC,travel,-13.29,2026-04-10,
Lavash Restaurant,travel,-59.81,2026-04-11,
Yerevan City Mashtots,travel,-41.06,2026-04-11,
Natali Pharm Mashtots,travel,-19.92,2026-04-11,
Ramore Restaurants,travel,-3.59,2026-04-11,
Ramore Restaurants,travel,-65.79,2026-04-12,
Voske Aga LLC,travel,-6.12,2026-04-12,
Sas 2-1,travel,-11.12,2026-04-12,
Crumbs Mashtots,travel,-6.60,2026-04-13,
Sherep Restaurant,travel,-53.19,2026-04-14,
Master Class,travel,-18.98,2026-04-14,
Zovq Saryan,travel,-9.09,2026-04-14,
Sorriso Northern Avenu,travel,-13.14,2026-04-15,
Gg Platform,travel,-3.05,2026-04-15,
Gg Platform,travel,-0.60,2026-04-15,
Family Pharm 9,travel,-6.57,2026-04-15,
Ramore Restaurants,travel,-52.11,2026-04-15,
Yerevan City Mashtots,travel,-45.58,2026-04-15,
Prepa Tamanyan,travel,-3.85,2026-04-16,
Aragil,travel,-39.55,2026-04-16,
Mart Coffee And Food,travel,-20.91,2026-04-16,
Sergey Parajanov Museu,travel,-5.92,2026-04-16,
Yerevan City Mashtots,travel,-13.37,2026-04-16,
Eatery Syrovarnya Chee,travel,-58.53,2026-04-16,
Apple,subscriptions,-4.99,2026-04-16,
Gg Platform,travel,-2.84,2026-04-17,
Rolling Fuds,travel,-2.98,2026-04-17,
Yerevan City Komitas 1,travel,-19.87,2026-04-17,
Telcell Route Transpor,travel,-0.99,2026-04-17,
Dalan,travel,-98.60,2026-04-17,
Dalan,travel,-9.93,2026-04-17,
Sas 2-1,travel,-7.71,2026-04-18,
Crumbs Mashtots,travel,-9.34,2026-04-18,
Slk Business,travel,-20.27,2026-04-18,
Gabrielyan Davit Pe,travel,-35.86,2026-04-18,
Tips Apple Pay,travel,-4.23,2026-04-18,
Yerevan City Mashtots,travel,-40.89,2026-04-18,
Airbnb,travel,-25.88,2026-04-19,
Crumbs Mashtots,travel,-5.66,2026-04-19,
Pharmacy Number 1 LLC,travel,-1.49,2026-04-19,
Sas 2,travel,-12.30,2026-04-19,
Sorriso Cascade,travel,-29.50,2026-04-19,
Gg Platform,travel,-2.84,2026-04-20,
Vivel Cake,travel,-1.19,2026-04-20,
Gg Platform,travel,-2.63,2026-04-20,
Gg Platform,travel,-0.30,2026-04-20,
Gg Platform,travel,-3.06,2026-04-21,
Wigmore Group Cjsc,travel,-33.99,2026-04-21,
Gg Platform,travel,-0.30,2026-04-21,
Wigmore Group 4,travel,-62.98,2026-04-21,
Cofix 16,travel,-0.40,2026-04-21,
Gg Platform,travel,-5.51,2026-04-21,
Gg Platform,travel,-0.60,2026-04-21,
Gg Platform,travel,-1.84,2026-04-21,
Tavern Yerevan Amiryan,travel,-49.99,2026-04-21,
Fresh Bar,travel,-7.00,2026-04-21,
Yerevan City Mashtots,travel,-22.43,2026-04-21,
SIXT,travel,-56.63,2026-04-21,
Soriso Gelateria,travel,-12.10,2026-04-21,
Sas 2-3,travel,-6.49,2026-04-21,
Crumbs Mashtots,travel,-8.00,2026-04-22,
Crumbs Mashtots,travel,-0.60,2026-04-22,
Gg Platform,travel,-3.26,2026-04-22,
Ramore Restaurants,travel,-3.60,2026-04-22,
Gg Platform,travel,-3.47,2026-04-22,
Telcell Route Transpor,travel,-0.60,2026-04-22,
Arnica Llc,travel,-5.94,2026-04-22,
Gedeon Richter Pushkin,travel,-6.60,2026-04-22,
Tun Lahmajo North,travel,-6.10,2026-04-22,
Gg Platform,travel,-4.69,2026-04-22,
Fullstreet LLC,travel,-40.08,2026-04-22,
Gg Platform,travel,-4.49,2026-04-22,
Family Pharm 10,travel,-5.60,2026-04-22,
Evrika,travel,-12.40,2026-04-22,
Gg Platform,travel,-2.86,2026-04-23,
Coffee House Nord,travel,-2.40,2026-04-23,
Smbat Makaryan,travel,-6.01,2026-04-23,
Smbat Makaryan,travel,-0.90,2026-04-23,
Cps Isakov 11 Hdm 3,travel,-20.03,2026-04-23,
Parma Hyusisayin,travel,-1.10,2026-04-23,
Coffee House Nord,travel,-3.01,2026-04-24,
Alfa-pharm,travel,-9.22,2026-04-24,
Eatery Syrovarnya Chee,travel,-23.02,2026-04-24,
Avenue De Paris Hall 1,travel,-40.10,2026-04-24,
Gg Platform,travel,-3.49,2026-04-25,
Gg Platform,travel,-4.31,2026-04-25,
Gg Platform,travel,-3.28,2026-04-25,
Wigmore Group,travel,-26.13,2026-04-25,
Gg Platform,travel,-4.31,2026-04-25,
Waitrose & Partners,groceries,-16.07,2026-04-26,
Transport for London,transport,-6.60,2026-04-28,
Transport for London,transport,-3.50,2026-04-30,
